review,score
관람객2편 만들기 위해 만든 영화랄까? 그래서 더 기대되고 재밌었다 ,10
기대는 안해서있지  재미는좋아요 여자조이   마지막에 대단한데  영화시간도그리길지않고 딱좋아  혹시  또 2편이.? ,9
"눈치가 빠르진않지만 클리쉐를 너무 따라가는 플롯인듯. 똑똑하고 소극적인 여자아이가 살아남을거라는건 너무 뻔했고, 띨빵하게 아는척하는놈이 먼저 나가리된다는건 뭐 거의 공식아닌가? 마지막 살아남은 남자는 왜 굳이 살렸는...",4
"초반부터 중후반까진 매우 스릴넘쳤지만, 결말 부분이 아쉽다. 그러나 여주.. 미X거 아닌가. 거길 왜 또감? 남주 잘살아보려고 하는데 밥상 엎어버리네. ",8
1만달러는 넘 작지않냐? ,10
큐브+쏘우인데 끝까지 안 잔인하다는게 반전. 그런데도 재미있다는게 또 반전 ,10
댓글에 무슨 결말 유치하다 뒤로 갈수록 별로다 이래서 별기대 안하고 봤는데 안유치하고 재밌기만 하구만 ㅋㅋㅋ 나하고 엄마는 큐브보다 더 재밌었음 ,10
영화 잘만들었다..이런 영화 대부분 결론이 없이 끝나는데...결론이 있어 더 잼있었던것 같았다 ,8
관람객꿀잼 2편이 기대되는영화 ,8
재밌다  2편이기대된다 ,10
뭔가 조잡한 트릭.... 영화 연출을 위해서 그랬다고 생각해도 이해안되는 몇몇장면 ,5
겨우 1만달러(1천만원)에 사람목숨으로 상금을.... 난안함 ,8
"미쳣슴 .,아니 그냥 ,,5시간 본 줄 ,,, 손에 땀이 흥건했습니다,,,꼭 보세요 와후 ",10
관람객흥미진진하나 쏘우와 큐브 약한버전을 보는느낌 ,8
관람객아주 재밌습니다~~~!!!! ,10
긴장감 대박 지린다. 이런게 영화지 ,10
난 방금보고나왓는데 엄청재밋든데 사람들은다다르구나...내가방탈출을좋아해서 그런건가?? ,10
방 탈출이 하고싶어진다 ,10
개연성 안따지고 편안하게 보면 재밌음방마다 특색있어서 보는맛이있음 ,9
2편각이고 존나 살벌하면서도 존나 재밌다반전 지리네 ,10
와우 진짜 이번년도 꿀잼영화 보고왔음 추천!! ,10
존잼..간만에쫄깃하게봤음 ,10
간만에 재미있는 영화 봤습니다 ,9
관람객큐브같은 영화 좋아하는데 그런 느낌의 영화네요 재밌게봤어요 ,8
스토리와 메세지 등 모두 괜찮음. 잼있음. 흑인소녀 짱임. ,9
스릴러충인데 재밋워요!! ,10
관람객진짜 숨죽이면서ㅜ봤어요ㅋㅌㅋ ,10
관람객제가스릴러를좋아하는데  재미있게본거같아요 ,10
관람객계속 집중적으로 봣어요스릴넘치고 너무 재밋게봣어요!!팝콘먹을틈을 안주네요 ㅋㅋ ,10
재밌대 안재밌다는 개취이니 평가 패스하고.꼭 영화관에서 봐야 할 영화가 있고 그냥 침대누워서 집에서 봐야 할 영화가 있는데.이 영화는 볼거면 반드시 영화관에서 봐야 한다. ,7
큐브나 쏘우같은 인간 내면의 깊은 선악의 모습을 비춘게 아닌 그저 흉내만 낸 영화 이거 볼려고 결제하고 두번이나 못본 내가 의심스럽군 ,1
이건 최소 8점 이상이다. 꿀잼 ,8
진짜재밌게봤는데 다들 눈이 너무 높은듯; ,10
잔인하지도 않고... 쫄깃하니 잼나네.ㅎ ,10
관람객방탈출 대리체험 재밌네요 ,9
관람객생각보다 나쁘지 않았음 끝 ,8
"(큐브+ 페르마의밀실+ 쏘우) 세가지를 고어적요소나 난해한걸 잘 못보는사람들이 보기쉽게 짬뽕한 느낌. 이런장르를 많이본사람에겐 조금 밋밋할수있고, 잘모르는사람에겐 잔인한 장면없이 가볍게 보기 좋은영화. ",7
"방 탈출이라는 소재로 무작정 잔인하지도 않고, 스릴 넘쳤습니다. 그리고 무엇보다 스토리가 나름대로 탄탄해서 정말 몰입해서 봤습니다! 짱잼!! ",10
굿재밋어 몰입쩜 잔인하지도않고 ,10
몰입도 100% 진짜 재밋음 대박 ㅜㅜㅜ그리고 방탈출 할때마다 방 마다 퀄리티 개쩔고아이디어좋음 ,10
탈출영화여서 기대안하고 봐야지 하면서 기대하면서 봄 ㅋㅋㅋ 재밌게 잘봤다. 여자애 성격 바뀐거같아서 잘됐다 싶엇는데 끝이 똥닦다 만느낌 ,9
아침에 혼자 조조로 보는데문 앞뒤로 3개가 갑자기 쾅 하고 닫힘무서워 놀람긴장감 극도 흥분 최대 ,10
재밋다시간순식간에감 ,10
재밌지만 큐브는 넘사벽이다 ,9
시간가는줄 모르고 봤닼ㅋㅋㅋㅋ재밌어 ,10
cgv 21시 30분 / 개인적으로 가볍게 볼려고 들어갔는데 의외로 집중해서 봤네요. 나름 괜찮은 영화로 잘 만들었다고 생각합니다. ,9
신박 그 자체  끝나고 그냥 멍때림 ,10
손에 땀 주르륵.... ,10
다음편도 기대되는 엄청 꿀잼영화 시간가는 느낌도 모르고 흠집없고완벽한 영화다 진짜 하나도 놓치는장면도없고 다음편이 궁금한 영화!!!! ,10
마무리가 쪼금 아쉬웠지만 너무너무 재밌었다. 2편이 나와도 재밌을 것 같다. ,9
관람객굿굿 큐브같은 영화 좋아하는데 완전 강추!!! ,8
Ifc 18:40 봄. 재밌어요. 2편 나오는 듯! ,10
처음부터 끝까지 스릴 짱~~! ,10
흥미진진하고 스릴넘쳤던거같다 ,8
전 재밌게 봤어요 뻔한 전개일수있긴한데 볼만했어요 ,8
스포일러가 포함된 감상평입니다. 감상평 보기ㅠ 아만다 죽기 넘 아까운 캐릭터였음.. 그리고 조이 병실에서 죽은 척하다가 관계자들 줘팰 때 넘 박력 있고 멋있다 진짜ㅠ 제이슨은 몸 좋은 쓰레기ㅜ ,8
"생각보다 재밌네 .,.,.,. ",8
"무조건 외화 디스하지말고,  영화로서 평가해주소.시나리오, 연기, 스릴, 모두 훌륭하다.2탄은 비행기 씬으로부터 출발~~ ",9
관람객재미있다 하하하하 소소 ,10
관람객별로 기대안했는대 볼만함 ,7
관람객솔직히꿀잼인거같은데... ,10
아무리 경마가 끝났다고 말을 죽이진 않잖아.. ,6
동종류 영화 중 가장 재밌음 ,7
오랫만에 짜릿한 영화였습니다..정말 집중하게 만드네요 ,10
누구나 나쁜 기억이 있다. 그것을 잊어야 한다. ,9
이런영화 많이 만들어주셈 쏘우 큐브이후 끊겼음 ,10
"초대장은 청첩장,돌잔치만 받자 ",8
