review,score
소재좋고재미좋고  다좋앗음 ,10
"강동원 나온 영화는 영화관에선 처음 보는데 정말 비쥬얼 갑이더라구요 .박소담님은 신인 배우시던데 정말 연기갑이세요 진짜 악령 빙의  연기 대박이예요 집에 오자마자 초록창 검색했는데 , 최고심,만약에 검은사제들 2 나...",9
관람객연기력이 얼굴에 가려져 있었던 강동원님에 믿고보는 김윤식! 남잔대 눈호강 제대로 했네요.. ,10
강동원나오는건 정말 다 혁명인것같아요 너무좋아요 강동원 ,10
관람객지루하지않게 잘풀어나간 영화인거같다  숨바꼭질이후로  재밌는 공포물이나 스릴러물이 없었는데 이번 나온 검은사제들이 그걸 딱 해결해준 사이다같은 영화 였다  김윤석 과 강동원에 캐미 그리고  아기돼지 너무 귀여웠다 박...,10
관람객뭔가  모르게 빠진듯한 아쉬움은 있지만 나름 짜임새있는 내용 굿~ 이예여 ♡ ,10
박평식 뚜드러패러갈 신부님들 모십니다 개꿀영화 저자식 평론땜에 안볼뻔햇네 사탄같은자식 ,10
박소담의 신들린 연기에 박수를 ,10
평점테러 작작 좀 합시다. ,10
관람객독특한 소재도 소재지만 일단은 강동원이었기에 그 재미가 배가 됐던 것 같다. 인상적이었던 건 여배우의 신들린 연기. 그 여배우의 다음 영화가 기대된다. 김윤석은 말할 것도 없고... 배우들이 살린 영화다. ,10
관람객강동원긔엽ㅋㅋ돼지연기짱ㅋㅋㅋ ,10
"관람객스릴인듯 스릴아닌 스릴같은 영화!소재도 참신하고 김윤석, 강동원의 연기도 너무 좋았습니다. 천만영화가 되길. ... ",10
관람객와 보는내내 심장쫄려서 죽는줄 진짜 존잼ㅠㅠ ,10
관람객간만에 새로운 소재의 영화를 본것 같아 좋다. 한국판 엑소시스트라 생각한다. 역시 배우들 연기도 좋고 영화도 너무 재미있게 봣다. ,9
강동원과 김윤석의 재회와 둘의 연기력에 감탄스럽다. 강동원의 역대급연기인것 같다 ,10
버터에 된장을 섞어 볶고 태우다 이거 박평식이 쓴 평인데 뭔 개똥같은 소리인지 모르겠다 자신은 나름 멋있게 글쓴줄 아나본데 걍 잡솔;; ,9
감독이 강동원 외모의 덫에 걸리지 않고 영화에 제대로 담아냄. ,9
시사회 본 사람들이 애정을 가지고 일찍 댓글다는거 아닌가?ㅋㅋ 요즘 세상엔 시사회로 먼저 영화보는게  있는건 아냐 연포스?ㅋㅋㅋ ,10
관람객정말 볼만한것 같아요. ,10
관람객아.. 진짜 할말을 잃었다. 구성 연출 연기 스토리 뭐 하나 빠지는게 없더라. 게다가 코믹 요소도 으아.... 미친 영화 ,10
관람객한국판 엑소시스트 여주인공 영화촬영 마치고 힘들었을듯 ㅠㅠ 이런배역 맡으면 악몽도 시달리고 그런다는데 ㅠㅠ 연기 최고였음 그리고 나 밤에 잠 어찌자냐 ㅜㅜ ,9
관람객심지어 아기돼지마저  열연...엔딩크레딧까지 관객들 안나가고 앉아있었다. 뻥찌게 재밌다 ㅋㅋ영신아 나 오늘 돼지꿈 꿀것 같다..성부와 성자와 성령의 이름으로 명하노니 대답하라!! 이번주 로또1등 번호는 무엇이냐!!!...,10
관람객기대없이 봤는데 진짜 대박배우들의 연기가 단연 압권임 !!! ,10
관람객영화가 너무 짧다고 느껴질 정도로 집중해서 봤어요 한시간짜린줄ㅋ ,10
배우들 연기력만으로도 봐야할 영화! ,10
간만에 긴장감넘치는 영화를 보았다. 무섭지만 깜짝깜짝 놀래키는 영화는 아니라 좋았다. ,10
관람객재미도있고적당한스릴감과배우들의연기도좋았습니다단순한스토리를긴장감있게잘풀어낸것같습니다 ,8
소재가 참 어려운데... 잘 표현한듯.. 세 배우의 연기가 좋았어요..^^ ,10
엑소시스트의 그것과 많이 닯아있으나 허구헌날 사랑타령 조폭이야기만 반복하는 한국 영화계의 거대한 충격작 ,9
관람객적절한 몰입과 긴장감 속에서 설득력도 놓치지 않았다. ,9
관람객이런 영화를 한국에서 만들어내다니 진짜 대단함!! 의미도 있고 물론 재미도 있다 ,10
관람객쉽지 않은 소재를 이정도로 풀어낸 것에 박수를 쳐주고 싶다. 중간이 살짝 지루한 감도 있긴 했지만 배우들의 연기가 정말 좋았음 박소담 상받을 듯 ,9
관람객단순한  줄거리에 공포는 과한듯 ,5
관람객 먼저 배우들 연기가 너무 좋았습니다!!! 그리고 감독님의 연출도 좋았구요... 한국판 엑소시스트 보는 느낌이 들었구요... 영화 보는 동안 계속 긴장감있게 잘봤습니다! 조금 아쉬웠던건... 중간중간 나왔던 유머가 ...,9
"거짓말 하나도 안하고 2시간이 1시간 같았다. 한국에서 이런 영화를 볼 수 있다는게 놀랍다. 국내 미개척 장르를 도전정신으로 해낸 장감독이 놀랍고, 배우들의 열연도 보기 좋았다. ",10
관람객연기력이좋은데 마무리가 별로네요. 스토리가 너무 깊게들어가지않아서 몰입하기힘드네요. ,3
관람객내용이빈약한거같아요조금아쉽내요 ,5
관람객이런 한국 영화 너무 오랜만임 ㅠㅠ 마지막까지 진짜 긴장 쩖.. ,10
이런내용좋음ㅋ ㅋ ㅋ ㅋ ,10
여배우도 남배우도 기대되는 영화....! ,10
관람객너무 재미있게 봤습니다 다음에또 봐야겠습니다 ,10
5점짜리지만 평점이 너무 높아서..  여자들은 강동원땜에 이런장르 첨보냐?.. 엑소시스트가 만든지 30년이 넘었는데  지금 고작 이거밖에 안되나 실망스러웠다 .  볼만은한데..  솔직히  공포영화 마니아들은  돈주...,1
하....이런 영화가 나오다니 ,10
관람객괜찮은 영화 꽤  무섭거나  혹은  뻔했지만...어두운 골목과  환한  골목밖의  세상은  슬펐다 ,9
원재미가 있냐 아무재미도 없다 ,1
이게뭐여??? 쓸데없이 평점은 왜케 높아? ,1
진짜 지금까지본한국영화중에 톱3에드는 개졸작..이게영화냐ㅉㅉ 콘스탄틴좀보고배워라..어휴 진짜 완전 허접한영화..음향만시끄러.. ,1
이런 영화가 400만이라니 ㅎㅎ 자폭 하자 이거군요 내용 없고 무섭지도 않고 엑소 시스트 짝퉁 한국판 인데 이도 저도 아니더이다. 나도  400만 들어 갔다고 해서 봤드만  케이블에서 해도 안볼 최악의 영화다  내부...,1
"역대 급 최악영화. 몰입도,연기력 모두 좋았으나 스토리가 진심 노답이었음. ",1
진화론을 부정하는것이 바로 신학인데 정작 악마는 진화 과정 중 하나인 호모사피엔스를 외치며 인간을 짐승이라 매도한다.개그하냐? ,1
나쁜평적기 싫지만 3시간전에 보고왔습니다. 내용이 너무 뻔하고 지루했네요. 진짜 실망했습니다. ,1
돈 주고 시간을 버린 느낌 ,1
뭐가 무섭다는건지...? 보면서 눈 하나 깜짝 안했다. 졸리고 지루한데 퇴마 안하고 궁금하지도 않은 복선 깔고있음 하..내용도 뻔하고 아 여기서 놀래키겠다 하면 그러더라 최악. 볼게 강동원 얼굴뿐인 영화 ,1
그지 같은 영화강동원만 나와서 재밌냐?보는 내내 지루했어요돼지한테빙의된건지 내용을 알아먹게라도 만드시던가 ,1
OOO 댓글 쓰는것도 존나 따지네 한마디로 끝낸다 쓰레기 ,1
정말 시간아까워 혼났습니다. ,1
와... 지금 보고있지만 보는내내 답답하고 어이없다.평점 도저히 이해안된다. ,1
나도 강동원팬이지만 영화 겁나 지루하고 재미없드라삼겹살집 돼지장면빼곤 볼게 없드라 ,1
평점 알바는 이제 그만...ㅠ ,1
스토리도 없는 허접한 영화 강동원이란 아이콘때문에 보러가는 빠돌이는 아니라서 다행이다... 돈낭비했을뻔... ,1
아놔 솔직히 진짜 이게 잼있나 평점 너무 올려놨네 . 퇴마 하는장면 살짝 볼만하고 나머지 지루하고 결말 이상하고.  강동원빨 너무심하네 ,1
오늘 지루하게 보고 왔는데 평점은 칭찬일색이네 ,1
알바생들 그동안 난 믿지 않았지만 이번은 분명 알바생쓰는걸 알수있다. 이거 재밌다고하는 사람들 70년대만든 엑소시스트부터 보아라 그럼 검은사저들 이건 애들 장난하는것처럼 보일것이다. 줄거리 긴장감 공포등 모든 부분 ...,1
참 진짜 이런영화가 500만이나 넘게봐버리는고만 진짜쓰레기영화너 ,1
죤나 지루하네 보다가 껏음 ,1
왜 재밌다는지 모르겠음 ,1
알바들때매 빡쳐서 평점1줌 실제 점수는 5.5 정도가 적당하다 ,1
진짜 너무 했다;진짜 너무 했다; ,1
"영화?? 못 만들수 있다. 그런데! 평점 가지고 장난치면 안되지 이게 어떻게 8점대가 나올수 있는지 굉장히 의문이다. 평점 알바도 풀고, 강동원이 똥을 싸도 박수처줄 골빈ㄴ들이 10점 눌러 줬겠지, 영구와 떙칠이가 ...",1
"재미도 없고,  재미라도 없으면 소재라도 신선해야했는데.. 다 놓침 ",1
"아,,, 내시간.... ",1
"이 영화에 540만명이나 들었다는게 어이가 없다. 배우분들의 연기력은 두말 할것도 없이 최고지만, 이야기는 너무 평이하다. ",1
언제쯤 재밌어질까 언제쯤 재밌어질까 하면서 봤는데 끝가지 재미없음 ,1
양심이 있다면 제목은 백돼지 흑돼지 아닌가낚인 내가 바보이지만앞으론 300p주고 볼란다 ,1
강동원 나오는건 다 왜이럼 무슨 애들인기빨로 영화에 캐스팅해서 넣어서 영화찍냐 왜봐야하는지 모르겠다. ,1
보는내내 손발이 오그라들었다. 김윤석강동원연기빼곤 없었다.보고느낀건 40년전  엑소시스트가 그리웠음. 어처구니없는 카피영화... ,1
1점도 아까운 그냥 영화. ,1
관람객가슴 쫄깃쫄깃 긴장하고 봤습니당~~ 배우들 연기력 쫭쫭!! 강동원은 신부님 옷 넘 잘어울려요ㅡ 눈도 즐겁고~ 빵빵한 긴장감을 극대화 시키는 사운드! 덕에 더 가슴졸이며 봣네요 ,10
관람객동원참치 잘생김. 영화 내용은 별로없고 그냥 무서운게 끝 ,6
솔까 이게잼난다는사람은머지? ,1
노잼진짜개노잼 이거재밋다는사람들정말이해안감 평점한번도안남겨봣는데 너무재미없어서남깁니다 진짜지루하고 영화보다처음졸아봄 ,1
ㅋㅋ남 자 평균 펼점 6점 여자는9점 ㅋ 여자는 그렇다쳐더남자들 너무 질투하지 맙시다 ㅋㅋ 저더 남자지만 정말재밌게보고옴 ,10
보는 내내 너무지루했다. ,1
사랑해용 짱입니다용ㅎㅎ ,10
노잼 노잼 노잼 진짜 노잼 ,1
정말 진짜 진심 재미없다. ,1
뭐지? 극장가서봤으면 스크린 부실뻔 정말 시나리오빈약 연기력은 모르겠고  이걸 몇백만이나 보는이유뭐지? ,1
12시간을 자고 일어나서 봤는대.. 영화덕에 2시간을 더잤내요...피로회복영화 였습니다 ,1
"생각보다 평점10점이 많다는데에 놀랐고, 생각보다 스토리가 넘나 빈약함에 놀랐다. 배우들이 아까운 영화. 평점맞추기용으로 1점준다. 실제론 2점. ",1
할말이없다진짜 ㅋㅋ 열받네 돈내놔 ,1
관람객한국영화에서도 이런장르가..재밌네요 무척 ,10
관람객올해본영화1위 한국영화같지않은한국영화 그리고 박소담 연기력에 김윤석이 묻히는... ,10
관람객오늘 보고왔어요   엑소시즘 우리나라에서 새로운 장르이자  가톨릭사제의  퇴마의식   흥미롭고 긴장도있었구  명품배우의  연기와  내용이 딱딱 조화롭게 이뤄져  잼나게 잘보았습니다  등원씨 비주얼은 역시 굳 ㅎ 대박...,10
관람객최악이다 . 정말 돈 아깝다 ,1
마지막장면 강동원 물에젖은모습보고 마누라가 강동원에 빠졌다 오빠도 머리에 물에 젖으면 멋있다하니 넌 물오징어라는말에 3일째 금식중 ,1
역시 사자 보고 검은사제들을 다시 찾은게 나뿐만이 아닌게 놀랍지도 않다.. ,8
강동원 팬이지만 영화는 진짜 최악 ....솔직히 1점도 아까워요. ,1
평점.관객수에 속은 영화. ,1
연출이 형편없다. 열자 ,1
