,review,score
62,코로나아니었음 대박 났을텐데ㅜㅜ,10
63,진짜 볼 만한 영화가 없어서 선택한 영화가 최고의 영화인걸 증명했다 보는내내 마치 자이로드롭을 타고 내려가기 직전 아 개떨려 괜히 탔다라고 생각드는 그 공포감을 현장에서 느꼈습니다 긴장해서 본 탓에 오한,10
64,진짜 소름 끼칠 정도로 연기력이 상당하더라 오램만에 신선했던 영화고 겟아웃 어스를 잇기엔 충분히 호러물인듯,10
65,무서운거 잘 못보는데 재밌게봄영화내내 겁나 긴장됐고 마지막에 너무좋은 결말이였습니다,10
66,여주인공 약간 조디포스터 느낌 나네요 연기가 좋았어요,10
67,평점믿고보지말라하는데 어제 오후시로 에서 실관람한소감으로 몰입감도좋고 귀신안나와도 이렇게 무섭구나생각들었고 재밋게봤어요,9
68,공포호러영화 매니아로서 상당히 만족스러운 작품이였다코로나 때문에 사람없는 시간대 골라서 관람했는데 위험을 무릎쓰고 볼만한 수작이라고 생각된다시작부터 끝까지 깔끔여자주인공 및 조연들의 자연스러운 연기와 더불어,10
69,긴장감이 마지막까지 지속되는건 괜찮았지만 스토리에 대한 기대가 중후반 이후로 꺾여서 아쉬웠다,8
70,끝날때까지 끝난게 아니다,9
71,생각보다 엄청 무섭고 그렇진 않아요스토리 엄청 탄탄하고 감독보고 믿고 봄,10
72,흑형이 생각보다 너무 무기력함,8
73,닭살이 계속 돋았어요ㅠㅠ 특히 레스토랑씬은ㄷㄷ지루하지 않고 스릴있게 잘 봤습니다귀신 나오지도 않는데 긴장되고 무서운 ㅠㅠ,9
74,개연성이없다고들 하는데 글쎄공포영화들 다 개연성없잖아 ㅋㅋ 근데 이거는 그래도 개연성있움 진짜 재밌었움 스토리가 흥미진진했음 여태본 공포영화중 제일 재밌었음,10
75,사람들이 영화관에서 마스크를 벗고 팝콘을 먹는게 더 무서웠다,10
76,여주인공을 훔쳐보는 연출과 긴장감을 고조시키는 웅장한 사운드는 공포를 유발시키기에 충분했음리메이크가 아주잘된 급 영화,10
77,여자주인공의 배역이 마음에 들지 않았던 영화,8
78,귀신없어도 이렇게 무서울수가,9
79,뻔할거 같았지만 생각보다 수작,7
80,계속 와 여주인공 연기 진짜 잘한다 하면서 봤음미래엔 가능할 과학기술이라서 말이 될 수 있는 내용이라 더 무서웠던 것 같다꼭보세요 평점 잘 안남기는데 진짜 오랜만에 만족스러운 영화라 평점 남깁니다,10
81,진짜 보면서 힘들었음 긴장감쵝오 힘들게본만큼 재미있었고 여자주인공 연기력 진짜 대박이였음 전세계 배우들중 손가락안에 들거같다 연기진짜 너무잘하드라 손에땀이났어요,10
82,결말 충격적 끝까지 긴장했다,10
83,보이지 않는 제 여친과 보고 왔더니 무서움은 덜했지만 재미 있었습니다,10
84,보통 뒤로 가면서 뻔하고 재미없고 그런 결말이 많은데 이건 중반 지나서부터 진가를 발휘함 ㅎㅎ 다만 여주가 너무너무 무섭게 생겨쒀ㅜㅜ여주 얼굴때문에 몇배로 무서웠기에 캐스팅 성공인건가,8
85,진짜 몰입도 높게 잘봤음 소름 엄청 끼침 역시 공포는 영화관에서 봐야 개꿀ㄸ쨈 갑툭튀 많은 영화임 생각보다 잔인함높은 몰입도신선한소재잔인함스토리있음반전까지이게 지루하다는 사람들은 얼마나 본인들 인생이 노,10
86,주인공의 연기가 너무나 잘 보였던 영화 재미있게 잘 봤어요,8
87,흑형 도대체 운동 어떻게 한거임,10
88,볼만했지만 뭔가 아쉬운 느낌 흑인경찰 몸 좋은게 제일 기억에 남는다,8
89,ㄴ흑인경찰친구근육 평점,10
90,보이지 않을때 느껴지는 공포가 최고,10
91,왜 이게 위인지 평점이 높은지 애매해요 그냥 빌런이 투명인간 수트 입은 영화 공포 부분은 초반에만 그런데 그마저도 음향으로만 시끄럽게 치고 나올뿐 전혀 무섭지 않아요 겟아웃 기대하고 가면 완전 실망할거,1
92,무서운 장면은없음 사운드 연기력으로 깜짝깜짝 놀람,8
93,소름끼칠정도로 연기 좋았어요 주인공 캐스팅 잘한거 같아요,10
94,드러나지 않고도 느낄 수 있는 공포를 제대로 보여준 영화,10
95,투명인간 능력을 고작 저딴데 쓴다는게 한심 할 따름이다,1
96,스릴러 좋아하는데평점때문에 기대가 높았던 탓인지기대에 많이 못미치네요 기대안하고 보면 그저그런 킬링타임용평점 정말 이해가안가네요,2
97,와 미쳤다 대박 ㅋ 방금 보고 나오는 길인데 재미있어요 ㅋ 강추함,10
98,공포보단 스릴러에 가까움중간에 액션도있어서 볼만함,8
99,개연성도 없고 평점이 왜 높은지 이해가 안감,1
100,재밌게 봤습니다 생각했던 공포가 아니였어서 더 재밌었습니다,10
101,근데 그냥 파리가서 살면 안되나ㅋㅋㅋ출국도 못할텐데,10
102,진짜 조올라 재밌어요 다른 신선함없는 공포영화처럼 막 놀래키고 무섭게 하고 그런거하고 차원이 다르게 무서워요 그냥 가만히 있어도 공포감 조성되고 현실성이 전혀 없는것도아니고 그렇다고 있는거같아보이지도않고 아 ,10
103,더넌 이후로 영화보다 개깜놀 여러번 하기는 오랜만이네요감독이 연출을 잘해서 긴가민가 하게 해서 계속 궁금해 하는 미친 스토리와 여자 주인공의 허술해 보이는 연기 대박 입니다 보길 잘했가는 생각이 드네요,10
104,그닥,6
