review,score
관람객역시 공포영화가 짱임 ㅎㅎ ,8
관람객시간 순삭...ㅎㅎㅎ 집중도 최고네요 ,9
"감독이 여기저기서 보고 영향받은건 많은 것 같은데 그냥 그것 뿐이다. 유치하고 헛웃음만 나오는 어이없는 스토리, 자극적이지만 무의미하고 근본없는 연출. 이 영화는 당신에게 분노라는 감정을 일깨워 줄것이다. 공포영화계...",1
뭐지....내가 뭘본거지 ,1
완전 몰입 쩖 그 악마 씌인 소녀도 연기 너무 잘한다. 연기 구멍이 아에 없음. 다 쩖 ,10
"허무함의 끝, 똥싸다 만느낌... 백윤식 선생님 나와서 안돼...! 만 하실거면 왜 나오셧어요... 용두사미의 끝판왕임 ",2
관람객둘째너무 방치하네 불쌍한 둘째 ,8
영화가아니라 똥에가깝다 ,1
관람객초반에 좋았는데 갈수록 어리둥절. 결말을 위해서 진행과정을 억지로 끼워 맞춘듯한 느낌. ,7
진짜 보지마세요...믿고 보는 성동일이었는데... 연기는 잘하시는데...진심 스토리며 연출이며...ㅠㅡㅠ ,1
성동일 안어울리는 배역맡은줄알았는데 무섭게 잘봤고 스토리가 결말은 좀아쉽지만 흥미진진했음 추리하는재미도있고 ,8
관람객무서우면서 잼나요~~ 내스타일~~ ,10
관람객존잼너무재밋어여숫것 ,10
절반은 귀 막고 봄.. 배우들 연기가 진짜 오짐 ,10
관람객겁나 재밋네 ㅋㅋㅋ 진짜 내가 좋아하는 스타일 ,10
가족들 연기 진짜 리얼함. 막내아들조차도 빠져든다 ,10
관람객나름재밋엇음 나는~~ ,8
초딩이 만든 막장 영화같네요 ,1
둘째좀 찾아주고..너무 많은것을 담으려했음한국영화 특유의 영화감성인지 모르겠는데분위기 전환점으로 코믹을 넣었고종교적인 내용이 담겨있어 신부님의 숭고한 희생을의미하는 장면으로 엔딩도 나오고여래저래 드라마 공포 코믹 다...,1
관람객둘째가 제일 불쌍 ㅜㅜㅜ ,8
관람객기저귀하고가야겟는데?ㅋㅋ ,9
관람객오랜만에 웰메이드 호러영화 굿굿 ,10
한국 공포 영화가 이 정도면 많이 발전한거지 최고다 ,10
관람객아 지렷다..진짜..ㅋㅋㅋ ,9
관람객항상 새로운 연기를 보여주는 멋진 배우님들 ,10
선우가 샤워할때 현주가 갑자기 나타나서 깜놀함 ,10
관람객둘째 너무 안찾는거 아닌가 싶네요.... ,8
관람객둘째는 왜케 신경들을 안써주는거임? ,10
관람객장영남배우님 식탁에서 계란말이연기소름.... ,10
알바상퀴들ㅋ있음ㅋ진짜 ,1
강 둘째가 젤불쌍..무섭고 시간가는줄모르고봤는데 왜 허무하지 ,10
결말이 살짝 허무할수도 있지만 그래도 국산 공포영화 중 수작으로 꼽힐 작품임에는 틀림없다 ,8
영화보는 내내 한숨만 나오는 영화. 게다가 스토리 연출 전부 엉망. 댓글 초반만 보고 영화보고 이런 영화를 왜 무섭다는지 이해안됨. 영화보면서 화장실 가고 싶은 생각과 담배 피고 오고 싶다는 생각한건 처음이다. 연기...,1
이런 용두사미가 또 어딨냐... 정말 잘나가다 배성우가 다시 집으로 돌아오면서 모든게 와장창 깨져버린다ㅋㅋ 둘째 딸래미가 제일ㅈ불쌍타ㅋㅋ ,5
도깨비엔딩 오반데.... ,8
관람객백윤식 선생님 영어 발음 때문에 분위기 깼어요 ,9
방금 보고옴.변신이 아니라  그냥 ㅂㅅ인듯...재밌다는분들 이해가 좀.... ,4
둘째 현주 좀 챙겨 주세요 ㅠㅠ ,8
뒤에서 계속 나불대던년 아굴창눌러주고싶었습니다. 영화관에서 조용히좀합시다 ,8
가족들 다 거실에 있을때 둘째딸만 없는데 아무도 눈치못채는게 잴 이상함 ,10
소문과는 달리 스토리가 탄탄하지못함.. ,2
관람객신선하고 재밌습니다. ㅎㅎ ,9
관람객초반엔 진짜 스릴있고 재밌었는데 후잔에는 개연성이 좀 떨어지내요ㅜㅜ ,8
영화 보는 순간 순간 긴장감이 장난아니였어요ㄷㄷ ,10
관람객둘째가 불쌍..합니다 ,8
여기 이영화 안보고 평점다는 놈들 수두둑하네.... 영화 자체는 한국 공포영화중에 손에 꼽힐정도의 작품인거 같다. 입소문타서 300만을 거뜬하게 넘을듯.... 알바들에 무분별한 10점도 문제지만 특히 다른영화 알바들...,9
역대급으로 노잼이었습니다. 뻔한 스토리에 필요 없는 구성 요소가 많았던것 같습니다. ,1
스크린제도 악이용 오늘도 한국감독꿈을 꿔봅니다 ,1
