,review,score
70,반전이 압권 문이 닫힐 때 소름,10
71,소름돋는 반전이다,10
72,직쏘 늙은이 새끼 지가 무슨 권리로 살가치가 없는걸 판단하나 흉악범들만 골라서 햇음 몰라도 ㅋㅋ,3
73,반전은 좋았는데 그외 나머지 스토리의 개연성이 별로인것같음,7
74,기대가 컸던만큼 실망도 큰법 잔인함과 억지반전으로 그럴싸하게 포장해놓은 작품,5
75,이거 보고 욕하는 사람들 멍미ㅋㅋㅋ 학교에 반 애들 한테 보여 줬는데 완전 좋아하고 ㅋㅋ 아 쏘우 진짜 최고다 쏘우 잔인하다고 욕하는 사람 머임영화 볼줄 모르나 편 반전이 말이 안된다고 편 보면 말이,10
76,이 영화 최고의 반전은 시간 넘게 앞에 누워있는데 죽었는지 살았는지도 모른다는거다 ㅋㅋ 그것도 의사라는 인간이 ㅋㅋㅋㅋ,1
77,반전이 쫌 쌩뚱맞음,7
78,재밌고 적당한 스릴감도 있다 그런데 포스터부터 이거 반전영화야 하는 말을 너무 많이 주는 것 같아서 첨부터 의심하고 봤더니 반전이 그렇게 뒤통수는 아니었다 아무 생각없이 본다면 정말 쩌는 반전이었을 듯,8
79,이런거 십점 안주면 무슨 영화를 주냥 치얼업 감독님,10
80,시간가는줄모르네 생각보다별로안잔인한것같음,10
81,스릴있다만 저예산에맞는 저렴한스토리,8
82,충격적인 설정과 영상들도 인상적이지만 마지막 반전은 영화 역사상 다섯손가락안에 들만큼 놀랍다,9
83,흑인경찰 ㅂㅅ새끼때매 범인 놓첬네,4
84,년이 지난 시점에 반전을 모르고 볼수 있었다는 것에 감사드립니다,10
85,지금 봐도 전혀 촌스럽지 않은 영화 인물 하나하나의 설정이 살아있고 개연성이 있다 요즘 영화의 쓸데없이 어거지로 끼워낸 반전을 위한 복선을 끼워넣은 것이 아닌 깔끔하고 강렬한 반전을 담아낸 놀라운 영화,10
86,평점 너무 낮다,10
87,보면서 답답한게 한 두가지가 아님상황을 많이 보여주다 보니몰입도가 떨어진다,6
88,쏘우 편 명작 편 수작 편 그래도 볼만함 편편 어거지 반전에 망작,10
89,예측 할 수 없는 포인트들이 너무 많아서 입틀막 하고 볼 수 밖에 없었다,9
90,그냥 잔인한 영화인줄 알았는데 내 인생 역대급 반전영화가 됐다,10
91,진짜 최고임 진짜 절대 예상못함,10
92,이 작품이 겨우 점 밖에 안된다니,10
93,기존의 클리셰를 박살내버리듯한 마지막은 그당시 충격과 공포 그 이상,9
94,정말 상상도 못한 결말이어서 깜놀했던 기억이 저예산 영화지만 이정도면 점,10
