,review,score
78,셔터 땐 참 좋았는데우째하나도 안무섭고 반전도 빤히 보임,5
79,스피커 바로 밑에 앉았었는데 소리때문에 죽는줄 알았네그려,7
80,귀신보다 무서운게 따로 있다,7
81,음반전에서 별개반 음향효과 뭐 그런분장 무그런거에서개반그럭저럭볼만해요,6
82,태국에서 배울께없어서 한국공포영화를 답습하고있다안병기 영화보단낫다,5
83,바디는 쓰레기지만 샴정도면괜찮지 않나 난 재밌게봤는데,8
84,놀래키기만하고 공포 분위기는 그다지 느껴지지 않는다,1
85,공포 별로 안좋아 하는데 역시 너무 무서웠다 ㅜㅜㅜ,7
86,반전도괜찮고 그럭저럭 볼만한 공포영화라고생각,7
87,별로 무섭지도 않고 억지성이 강하다 오래전 한국 공포영화 보는듯하다,2
88,그럭저럭 괜찮았다,7
89,마지막만 재밌고 나머지는 별로인,6
90,마지막에 남자랑여자뜨는부분에서 좀안습이긴했지만 그럭저럭 재밌게본영화 ㅎ,8
91,굿임,10
92,그다지 내용이 추천 안합니다,5
93,셔터 이후로 너무 큰 기대를 했나 기대보다는 별로,6
94,공포에서 살인마영화로 바뀐다 이건 뭐하자는 건지 아짜증 공포도별로스릴도별로,5
95,반전이랄 것도 없음 줄거리만 봐도 뻔한데 그거 생각하면서 감상하는게 나름 포인트,6
96,가슴은 두들기나 예고편에 너무 많은 걸 담았다,5
97,반전이 너무 뻔해서 설마 아니겠지 했는데 역시 그거였어,6
98,옛날여자친구랑 영화관에서 재밌게 본 기억이ㅋㅋㅋ,10
99,공포영화팬이지만 실망 셔터의 성공에 사로잡힌 스토리 아이들에겐 통할듯,10
100,잘 만든 공포영화 중의 하납니다,10
101,극장에서 볼떈 무섭던데 ㅋㅋㅋ 평점 후리다,8
102,무섭긴 했는데 친구가 야 남자대사 핌밖에 없어 이래서 피식했던 영화,8
103,셔터 때문에 많이 기대했는데,5
104,너무 느리게 천천히 공포의 강도를 올리다 보니 무서울라고 하면 영화는 끝나있다,5
105,남자배우 대사는 대부분 핌이군요,7
106,스토리도 한심하고 반전도 유치하지만 공포를 느끼는 포인트는 괜찮게 잡아낸듯,5
107,재미없음 똑같이 생긴핌만나와 입벌리고 매달려있고 눈알 하얗고 ,1
108,얼토당토 않은 설정과 어설픈 공포 몇번 놀래켜주면 공포야,4
109,나름 재밌었어요,8
110,셔터는 광팬이지만 이 영화는 좀 많이 떨어짐,4
111,뻔하고 지루하다 심야에 몇명안되는 사람들끼리 영화관서 봤는데도 졸며봤다,2
112,공포감이 많이 있음 굿,10
113,굳 ,10
114,독특한 소재와 중간중간 심장 떨어지는 놀람 반전도 수준급,9
115,긴장감 떨어진다,6
116,무섭고 재밌었음,8
117,그냥 아무생각업이 더워서 본영화 하지만 기대이상으로 재밋엇다,10
118,영화보기전 설마했던 생각이 반전으로 공포감은 좀있음,3
119,이런소재의 공포영화 뻔하다 뻔해,2
120,놀래키는 재주 그 이상 그 이하도 아니다,5
121,쌍둥이라는 소재로 꽤 괜찮은 영화였다,7
122,깜짝깜짝 놀래키는 재주는 있네 영화자체는 수준이하,5
123,반전이라고 하기엔 뻔하고 마지막까지 감정은 알수가 없다,5
124,초반 좋았는데 갈수록 망가지네,5
125,한국 공포보다는 확실히 볼만하다 무섭지는 않았지만 지루하지도 않았다,6
126,여름의 무더위를 날려주기 충분한 영화라고 생각한다,8
127,휴그냥 뭐 나와서 놀래가꼬 안아주고 마지막반전도 ㅅㄱ,5
128,예상되는 반전과 무난한 공포감 셔터의 명성을 잊진 못할듯,5
129,주제는 좋았던것 같은데 음,7
130,겁이 많아서 그런지 바로 앞자리에서 친구랑 보다가난생처음 영화보다 비명지름,10
131,무서워,8
132,깜짝깜짝 놀래킨다 자꾸만 셔터랑 비슷하다,6
133,반전으로 점수를 깍을필요는없다공포영화로서 제기능을 다한영화,8
134,지루하고재미도 없었고무섭지도않고속만울렁거린 영화ㅠ,2
135,샴쌍둥이처럼 태어나지 말아야 했을 영화,3
136,고막이 아파와,1
137,점,5
138,이 정도면 충분하지 뭐,8
139,배꼽잡고본영화,4
140,내가 쌍둥이라 그런지 이해는가고 슬프지만 그렇게 무섭지는않음,6
141,나름 중간정도 무서움,6
142,반전도 반전 같지가 않았다그래도 극장에서봐서 약간무서웟음,6
143,반전예측확인할수 있었는데 나름대로 무서어,9
144,뻔한반전 나름무섭긴햇다,6
145,공포의무게중심이동은좋았으나 예측가능했던결말 귀신보다무서운건역시나의 교훈,8
146,반전 예측 전혀 못했고 진짜 깜짝놀랫따 그리고 무서웠다,10
147,공포이여서 재밌다,10
148,반전 예측가능했고 귀신구경만 잘 했네요,5
149,무서우면서 재미잇어요,10
150,극장에서보니까 졸래무서웟던거다 하지만 마지막에액션이 ,9
151,셔터의 기대가 한순간에 무너졌다 절라 재미없다,1
152,반전으로 득을 얻기보단 실을 얻은 영화 공포감도 그다지ㅜㅜ,6
153,꺼져 너 무서워 자막도 싫어,1
154,반전 예측 가능하고 재미도 없고 무섭지도 않고 아 괜히 시긴낭비  ,1
155,음 예측이 가능한반전 놀래키기만하고,7
156,태국공포가 독특하긴 하다,7
157,반전때문에 산 영화,10
158,포스터에 낚였다,10
159,ㅡㅡ 뭐야 하나도 안 무섭고 그냥 놀래키기만 한다,10
