review,score
★★★★★ ,10
처음으로 공포영화보면서 처음부터 끝까지 쫄았다 ,10
중간에 경악을 금치못할 장면이 있는데 계속 생각나네요 ㅋㅋㅋ 임산부는 절대 보지마세요 ㅋㅋㅋ ,8
무서운거 안나오는데 무섭다며ㅠㅠㅠㅠ다거짓말이야ㅜㅜㅜㅜ귀신 튀어나오는거는 무서운게아니고뭔디ㅜㅜ ,8
이 영화보다 더 공포스럽고 소름끼치는 제임스 완의 연출능력 ,8
진짜 올만에 무서웠음 깜짝놀라서 소리지르는게 아니라 헙하고 숨을못쉼 ㅋㅋㅋ아개무서워 ,10
무서운장면없다매 아나기빨리는느낌 ,9
"공포영화 백화점, 어디선가 본듯한 장면들 같지만 영리한 배치를 통해 공포감 극대화.. 무서운 장면이 없다고 광고하는데 속지마시길.ㅋ ",8
아놔...집이 너무 넓어ㅠㅠ간만에 긴장하고 본 영화...딸들이 다 예뻐ㅋ ,8
말이필요없습니다.. ㄷㄷ ,10
파라노말액티비티와 엑소시스트를 합친듯한 영화네용~~ ㅋㅋ ,7
공포영화보고 직접적으로 무서운건 처음 ,10
추석때 연인과 볼 유일한 짜릿한 영화. 깔끔한 공포. 호러에 익숙한 사람은 수위가 낮게  느껴질수도. 여자들은 십중팔구 비명지를 것이다. 마땅히볼게  없다면. 이 영화를 선택하길... ,8
잔인한 장면이 없는 공포영화....존경한다 제임스완... 인시디어스부터 잔인한장면이 거의 없어요. 소리와 분위기 한컷 한컷의 뭐랄까...정말 기가막히게 연출을 합니다. 잔인한 장면이 없어서 고어한 영화싫어하시는분께는...,8
무서운 장면 없다더니... ㅜㅜ 공포영화 매니아들 사이에 오래오래 회자될만한 훌륭한 영화가 한 편 나온 것 같습니다. 오랜만에 공포영화 보고 만족함. ,9
가서보쇼 무서운거보다도  앗  깜짝이야 볼만함 ...저런집에서 살고싶다 ㅋㅋㅋ ,8
무서운 장면 많은데 왜 없다그러는지 ㅋㅋ ,9
존나무서워서 존나짜증나 존나무서워ㅜㅜㅜㅜㅜㅠㅠㅠㅠㅠㅠ ,10
공포영화 보면서 첨으로 소리질러봄.. 괜춘괜춘 ,9
소재는 진부하다 못해 식상하지만 공포의 강도에서는 고전호러의 대부인 엑소시스트와 견주어도 손색이 없다.지금 늦더위에 지쳐있다면 당장 극장으로 가라 그리고 봐라.염통이 쫄깃쫄깃해 지고 지린다는 의미를 알게 될것이다. ,8
이 영화의 진정한 공포가 뭐냐면 말이지... 아버지의 벌이가 좋지도 않은데 딸을 다섯명이나 낳았다는거야... 그러고도 금슬이 좋아... ,9
심장약한분들 주의하시길!! ,10
영화관에서 4d로 봤습니다.  옆자리 어떤여자가 무서운 장면 나올때마다 소리지르면서 발작을 하더군요. 중반쯤에는 옆자리 여자애가 귀신보다 더 무서웠네요. ,10
영화 상영 시작부터 끝까지 내 심장이 뛰고 있다는 것을 새삼 깨닫게 만든 영화! 칭찬의 상징이던 박수가 두려움과 공포의 표적이 되었던 영화! 나도 모르게 내 방 옷장속을 정리하게 만들었던 컨저링. . . 올해 최고의...,10
10년 간 본 공포영화 중 제일 무섭다. ,10
영화 갠찬았음!! ,8
.........................................하....................흑.............................흡..............................,10
이게공포지ㅋㅋㅋㅋ ,10
쩌네.ㄷㄷㄷㄷㄷ ,10
중반부에 살짝 늘어지는 모습을 보이기도 하지만 충분히 재밌는 공포영화 ,8
제가 올해 봤던 공포영화중에 최고입니다.대박!!영화보다가 저혼자 육성으로 비명도 지른;;;; ,10
무서운장면이뭐가안나와 낚였음 완전 긴장안하고보고잇엇는데 그리고 엑소시즘 영화엿다니ㅠㅠㅠㅜㅜ ,7
마지막 연휴일 무서운줄 생각..^^ ,9
대낮에 컴퓨터로 봐도 지리는데 영화관에서 봤으면 진짜 똥까지 쌌을 듯 ,10
이거보면서 하도 무서워서 귀신의 입장이 될려고했다.. 그러면 안무서울까 싶어서 ㅋㅋ ,10
"짱ㅇ.야,,. ",10
말이안나올정도로무서운영화 ,10
홍보를 뭐 이따구로 하냐 무서운 장면 없이 무섭다길래 안심하고 보다가 옷장씬에서 놀래서 자몽주스 뿜었다 '무서운 장면 없이도 무섭지만 무서운장면 있음'이라고 홍보해야지 본지 2주됐는데 아직도 장롱보려면...,9
혼자 보러갓는데 진짜 그냥 무서운 영화..영화관에서 어떤남자가 소리질렀던건 안비밀ㅋㅋㅋㅋㅋㅋㅋ ,9
난 용감한 남자라서 그런지 한개도 안무섭떤뎅. 오늘 불켜놓구자야지. ,10
"무작정 귀신으로 놀래키고 잔인하게만 하는 공포영화보다 훨씬 무서웠고, 긴장감이 유지되었다. 실화를 바탕으로 한 영화라 그런지 스토리 구성도 좋고, 전개도 좋았다. 그리고 심야영화로 봐서 그런지 몰입도도 최고였다. ",9
엑소시스트랑 좀 비슷하지만 재미있고 밤에 봐도 그렇게 무섭진 않았는데  귀신들린연기도 잘하고 깜짝 깜짝 놀라게 하는게 더 무섭게 느껴짐ㅋㅋ 옛날에 한 엑소시스트보다 이게 더 재밌네요. ,8
무서운장면 안온다면서 자꾸  뭐가 느껴져.. ,8
진짜 개지렸다 ,10
심야로 봤는데 나름 볼만함 ,7
이 영화는 쉬는 시간을 안줘 ,10
십자가 들고 영화봐라 내일부터 교회다닌다 ,10
혼자 보면 도중에 뛰쳐나감...내용은 공포영화에서 흔히 만날 수 있는 주제이나정말 잘 만들었음. 심장 여러번 떨어짐...ㅠㅠ ,10
영화 너무 지루함. 그다지 무섭지도 않았고... ,5
애나벨 보고왔는데 컨저링이 갑이었다라는걸 다시 느낌 ,9
컨저링 별로 안무섭다고 하는 사람 더 무서운 영화 추천좀 해주라 나 공포영화 정말 좋아하는데 최근 몇년사이에 본것중엔 가장 재미 있던데 안무섭다고 하는 사람들 진짜 무서운 영화 추천좀 부탁해 ,10
장면 하나하나를 따져보면은 크게 무섭지 않은 영화.다만 그 장면 하나하나에 어울리고 공포감을 조성할 수 있는 사운드.여태까지 많은 공포영화들을 봐왔지만 이만큼 사운드가 잘 어울리는 영화는 보기 드물정도네요.다만 혼자...,10
기대이하라고 하시는 분들.. 도대체 당신들의 기대를 충족시켜준 공포영화는 무엇이었나요? ,8
훨낫네..파라노말 액티비티시리즈와 거의 흡사하지만 시대적 배경과 퇴마사가 등장한다는것이 포인트네.. ,10
교회에서 만든 영화인줄 ,8
별로 기대감 없이 보다가 재미있게 보고 왔습니다 ㅋㅋ 긴장감이 넘치더라구요 ㅋㅋㅋ ,9
무서운장면이 안나온댔는데 나옴 아 ,10
소리만 들어도 무서웠음..ㅠ.ㅠ... ,10
간만에 공포영화다운 공포영화를 봤다. ,10
정말재밌네요 ,10
처음에는 조금 질질 끄는구나 했는데 뒷부분 훼이크여서 지금 집오자마자 평점 쓰는 영화 중 아직도 몸이 움추러들어서...하 대박 ...무서웠음...엄마랑 손잡고 자야겠어요 ,10
그냥 굿 ,10
미국공포가 호러나 고어에 치중해있는것에비해 깔끔하게 심리적인 공포를 줌 대신 끝으로갈수록 엑소시스트 ,9
