,review,score
53,사실 영화는 별로 안무서움 귀신이 무섭다기보다는 불쌍해보임,7
54,역시 공포영화는 태국이 갑 일본 공포는 분위기로 몰고 가고 미국영화는 고어로 몰고 가는데 태국 영화는 그딴거 없고 그냥 혼비백산 ㅋㅋㅋ,10
55,이거보고나면 그냥 나머지공포영화는 귀엽지 꼭 소리키고보세요 국제영화제 음향상 받았음 사운드 예술임,10
56,시대를 막론하고 공포영화 원탑이라 생각함 스토리를 제외하고서라도 공포란 글자만으로도 너무나 충분하다년이 지난 지금도 머리에 박혀있는 셔터 귀신다시볼 자신이 없다,10
57,여주들만 불쌍 ㅠ 나쁜새키들하고 역여서 ㅠㅠ이유를 알고나니 무섭기보단 짠했고 귀신을 응원하고 있었음 지금 봐도 재밌음  여름은 무서운 영화지,9
58,아오욕나게 무서움 남자인 내가 무서워서 처음으로 채널 잠시 딴데로 돌린 영화지금봐도 무서울까는 모름,8
59,으헣,10
60,몇년전이지만수련회가서 단체로봤는데와사운드빵빵해서 진짜무서웠다,10
61,년이 지난 지금 아직도 무섭다 다시볼려고 다운받았는데 못틀고있다,10
62,분 초쯤에 나오는 안경쓴 양반 오른쪽 콧구멍의 콧털을 뽑아주고 싶다ㅠ 은색으로 반짝거리는게 자꾸 생각나요ㅠㅠㅋ,8
63,내 인생 최고의 공포영화 이보다 더 무서운 영화는 본적이 없다,10
64,공포영화로선 최고다 현재까지 따라올 수 있는 영화가없다,10
65,군대에서 단체로 보다가 다들 근무 못나간다고햇던 기억난다 ㅋㅋ개지리고 뒤로자빠지고 이거튼 후임 기억에서 사라질때까지 갈굼당함,10
66,내 인생 제일 무서운 영화 요새 컨저링 등등 많이 나오는데 진짜 이거보단 못됨,10
67,내가 아는 공포 영화 중 안에 든다,7
68,아무생각없이 봤다가 오금저렸다 ㅋㅋ 근래 영화보다 훨씬 무섭다 이거보고 잠못잠,10
69,ㅎㄷㄷ,10
70,컨저링이고나발이고 내 인생공포영화임 귀신존나무섭게나옴ㅜ 스토리가탄탄해서 몰입된 상태서 귀신넘나무서워ㅜ,10
71,더운 여름에 공포영화검색하다 동남아라 가볍게 봤다가 똥쌋다 시벌,10
72,공포영화 진짜 잘보는데 내 기준 위 공포영화,10
73,한때 공포영화 새벽에 보기를 자주 했었고 뭐 대부분의 공포영화들이 그저 그랬다 그러다가 셔터를 봤는데중간에 불을 한번 켰다다 볼까 말까 고민하고 불을 끄고 영화를 다 보고나서 다시 불을 켰다이게 공,9
74,내인생 역대최고의 공포영화공포마니아라서 정말 여러영화를 접했지만이만큼 무섭게 연출한 영화는 다시 나오기 힘들듯,10
75,중딩때 봤는데 무서워서 진짜 다시보기 싫을정도 ㅋㅋㅋ,8
76,개무섭다 ㅅㅂ 소름돋고 지릴뻔,10
77,연출미쳤다 태국 다시봤다,10
78,내용도 훌룡하고 귀신 연출과 연기도 뛰어나다 한국의 쓰레기 공포영화 만든 감독들은 본 받아야한다,10
79,이거 보고싶은데 유튜브에도 네이버에도 없네 어디서보냐ㅠㅠ,10
80,어깨위에 올라 타고 있을 때ㅜ진짜 소름,8
81,컨저링 애나벨 저리 가라 할 정도,10
82,셔터 재개봉해주세요ㅠㅠ,10
83,애나벨보고 나니 제 인생공포영화인 셔터가 생각나서 검색해봅니다 진짜 너무너무 무섭고 재밌는영화예요,10
84,별로라고 생각하면서 봤는데 컨저링 보고 오니 이 영화가 잘만들었네 ㅋㅋ,6
85,끈적한 느낌의 공포영화점부터 끝까지 영화의 분위기가 일관되게 흘러가지만 전혀 지루하지 않았음 여름에 봐야 제대로 느낄수 있다,8
86,음향효과는 구리다는 느낌을 받았다 하지만 심장은 쫄깃했다 ㅎ,8
87,내가아는최고의공포영화 난 친구들이 공포영화추천해달라하면 무조건이거추천,10
88,지릴뻔지릴뻔,10
89,깜놀이 많음무서움,9
90,제가 본 공포영화 중 최고였음,10
91,평점 주려고 일부러 로긴했다 무섭기도 한데 더욱 놀라우건 전개가 상당히 매끄럽고 완성도 또한 완벽에 가깝다 굉장한 수작이라 생각한다,10
92,남자 주인공 인성이 갸쓰레기라 빨리 죽었으면하던 영화 주인공이 빨리 죽길 바란 공포영화는 처음인듯 아오 쓰레기 같은 색흠흠 영화 자체는 굿굿,10
93,이 영화때문에 공포영화 끊음ㄷㄷㄷㄷ,10
94,아시아에서 탑으로 뽑는 공포영화라고 칭하고싶을정도로 진짜 무서운거 잘보는 사람도 이거 잘 못본다 ㅋㅋㅋ,8
95,와 살면서 이렇게 소름돋는 영화 처음보네요 정말 강추합니다,10
96,무서운 연출은 없는데 소름끼치는 장면은 여럿있다 잠은 푹 잠,5
97,아직까지도 보기 두려운 공포영화중 하나이다,10
98,엄청 무섭다고 소문난 영화라 기대하고 봤는데 자극적인 귀신분장 빼고는 솔직히 별로 안 무서웠다 오늘은 엄마랑 자야겠다,5
99,방에서 보다가 여자친구 거의 기절함,10
100,기저귀개준비하고보삼,10
101,진정한 공포 한마디로 최고,10
102,진짜 이건 인정 보다 짜증날 정도로 무서웠음 영화관에서 보면서 개후회함 아직도 이걸 넘는 공포영화는 못봤음,10
103,셔터여태까지 본 공포영화중에 제일 무서웠음,10
104,컨저링   편 전부 혼자봐도 볼만했는데 이건 도저히 혼자 못봄 ㄷㄷ,9
105,무섭다 무서워 한동안 태국말만 들어도 무서웠었다 아 귀신 캐스팅을 참 잘했다 살아있을때도 귀신같아,8
